id,name,unemployed_f,unemployed_m,unemployed
101,Eisenstadt,0.06,0.07,0.06
102,Mattersburg,0.07,0.08,0.08
103,Neusiedl am See,0.07,0.07,0.07
104,Oberpullendorf,0.08,0.09,0.08
105,Oberwart,0.09,0.10,0.10
106,Stegersbach,0.09,0.10,0.10
107,Jennersdorf,0.07,0.09,0.08
201,Feldkirchen,0.08,0.11,0.09
202,Hermagor,0.07,0.07,0.07
203,Klagenfurt,0.09,0.12,0.11
204,Spittal/Drau,0.13,0.12,0.12
205,St. Veit/Glan,0.09,0.10,0.09
206,Villach,0.11,0.12,0.11
207,Völkermarkt,0.10,0.12,0.12
208,Wolfsberg,0.08,0.08,0.08
301,Amstetten,0.06,0.06,0.06
304,Baden,0.09,0.10,0.10
306,Bruck/Leitha,0.07,0.07,0.07
308,Gänserndorf,0.08,0.09,0.08
311,Gmünd,0.10,0.10,0.10
312,Hollabrunn,0.06,0.08,0.07
313,Horn,0.06,0.07,0.06
314,Korneuburg,0.06,0.07,0.06
315,Krems,0.07,0.08,0.07
316,Lilienfeld,0.08,0.08,0.08
317,Melk,0.05,0.06,0.06
319,Mistelbach,0.05,0.07,0.06
321,Mödling,0.07,0.08,0.07
323,Neunkirchen,0.08,0.10,0.09
326,St. Pölten,0.07,0.09,0.08
328,Scheibbs,0.04,0.06,0.05
329,Schwechat,0.08,0.09,0.08
331,Tulln,0.05,0.07,0.06
332,Waidhofen/Thaya,0.07,0.08,0.07
333,Waidhofen/Ybbs,0.05,0.05,0.05
334,Wr. Neustadt,0.09,0.10,0.10
335,Zwettl,0.05,0.07,0.06
401,Braunau,0.07,0.06,0.06
402,Eferding,0.03,0.04,0.04
403,Freistadt,0.04,0.04,0.04
404,Gmunden,0.05,0.05,0.05
406,Grieskirchen,0.04,0.05,0.04
407,Kirchdorf/Krems,0.05,0.05,0.05
409,Linz neu,0.06,0.08,0.07
411,Perg,0.04,0.04,0.04
412,Ried im Innkreis,0.05,0.05,0.05
413,Rohrbach,0.03,0.04,0.04
414,Schärding,0.05,0.06,0.06
415,Steyr,0.08,0.08,0.08
418,Vöcklabruck,0.06,0.06,0.06
419,Wels,0.07,0.08,0.08
421,Traun,0.05,0.06,0.06
501,Bischofshofen,0.07,0.06,0.06
503,Hallein,0.05,0.06,0.05
504,Salzburg,0.05,0.07,0.06
505,Tamsweg,0.07,0.07,0.07
506,Zell am See,0.07,0.07,0.07
601,Bruck/Mur,0.08,0.08,0.08
603,Deutschlandsberg,0.07,0.08,0.07
604,Feldbach,0.06,0.09,0.08
605,Fürstenfeld,0.06,0.08,0.07
606,Gleisdorf,0.05,0.06,0.06
607,Graz,0.08,0.11,0.09
609,Hartberg,0.07,0.07,0.07
610,Judenburg,0.08,0.08,0.08
611,Murau,0.06,0.08,0.07
613,Knittelfeld,0.08,0.08,0.08
614,Leibnitz,0.08,0.09,0.08
615,Mureck,0.06,0.08,0.07
616,Leoben,0.07,0.07,0.07
618,Liezen,0.07,0.07,0.07
620,Gröbming,0.09,0.08,0.08
621,Mürzzuschlag,0.07,0.06,0.06
622,Voitsberg,0.07,0.09,0.08
623,Weiz,0.04,0.05,0.05
701,Imst,0.07,0.07,0.07
702,Innsbruck,0.06,0.07,0.07
704,Kitzbühel,0.07,0.07,0.07
705,Kufstein,0.07,0.06,0.07
706,Landeck,0.12,0.09,0.10
707,Lienz,0.11,0.10,0.10
708,Reutte,0.07,0.05,0.06
709,Schwaz,0.07,0.06,0.06
801,Bludenz,0.06,0.05,0.06
802,Bregenz,0.06,0.06,0.06
804,Dornbirn,0.07,0.07,0.07
805,Feldkirch,0.06,0.06,0.06
